"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-08 09:12:12,FALSE,NA,"961528077837770753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cgcliffordgreen",6,TRUE,FALSE,NA,NA
"2","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/08 03:07 @ Home
<U+23F1>1,153 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.687 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5252<U+2B07>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/cEcGTU54WM",FALSE,0,NA,2018-02-08 09:07:07,TRUE,NA,"961526797128097792",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"3","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-08 08:06:55,FALSE,NA,"961511648954642432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scalextrix666",6,TRUE,FALSE,NA,NA
"4","@solcrypto @Smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ @SpaceX @BernardMcCarty Drop @BernardMcCarty a… https://t.co/X0bWAe7rzP",FALSE,1,"solcrypto",2018-02-08 07:57:14,TRUE,"961403725964193797","961509209224302593","2372966580","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CEnd_brewmaster",0,FALSE,FALSE,NA,NA
"5","Coin of the day: SolarCoin (SLR). Using a Blockchain which is 40 times faster than Bitcoin and having one of the mo… https://t.co/VJc5tVWvb8",FALSE,1,"ZOLcoin",2018-02-08 06:56:12,TRUE,"961225231812640768","961493851897700352","947705247396347905","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZOLcoin",0,FALSE,FALSE,NA,NA
"6","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-08 05:59:14,FALSE,NA,"961479515749806080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sylph93Me",6,TRUE,FALSE,NA,NA
"7","@solcrypto @CEnd_brewmaster @Smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ @SpaceX Happy to oblige! Pleas… https://t.co/LjFaFI3cST",FALSE,0,"solcrypto",2018-02-08 05:29:33,TRUE,"961403725964193797","961472043593142272","2372966580","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BernardMcCarty",0,FALSE,FALSE,NA,NA
"8","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 23:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.687 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5294<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/IWn5lAzhRx",FALSE,0,NA,2018-02-08 05:07:06,TRUE,NA,"961466394343886848",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"9","Blockchain and Energy - Two Peas In a Pod https://t.co/OazyAdRM05 $Solarcoin $SLR",FALSE,0,NA,2018-02-08 02:26:39,FALSE,NA,"961426016672665600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BitcoinDrudge",1,FALSE,FALSE,NA,NA
"10","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 19:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.687 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5006<U+2B07>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/2YB1kZ9UOm",FALSE,0,NA,2018-02-08 01:07:04,TRUE,NA,"961405990850752513",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"11","@CEnd_brewmaster @Smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ @SpaceX @BernardMcCarty I would like to c… https://t.co/dpj5omi6Wv",FALSE,2,"CEnd_brewmaster",2018-02-08 00:58:04,TRUE,"961182043639033857","961403725964193797","806730834","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","solcrypto",0,FALSE,FALSE,NA,NA
"12","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-07 23:54:32,FALSE,NA,"961387734823817219",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JTorres1488",6,TRUE,FALSE,NA,NA
"13","RT @SolarCoinNews: $29 Trillion is needed to power entire #Earth with renewables, but we don't have the money because they're spent on the…",FALSE,0,NA,2018-02-07 22:41:42,FALSE,NA,"961369406206107648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BourneCoin",8,TRUE,FALSE,NA,NA
"14","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-07 21:56:59,FALSE,NA,"961358154658443271",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SolarCoin_SLR",6,TRUE,FALSE,NA,NA
"15","RT @CEnd_brewmaster: @smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then thes…",FALSE,0,NA,2018-02-07 21:56:59,FALSE,NA,"961358154612256770",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nickgogerty",6,TRUE,FALSE,NA,NA
"16","@SolarPowerWorld A call to action was issued to governments, international organizations, NGOs, and the solar indus… https://t.co/NgzRJbRjNu",FALSE,0,"SolarPowerWorld",2018-02-07 21:47:05,TRUE,"961321321622835201","961355663434711040","82901380","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"17","@SolarPowerWorld Hopefully all contractors will recommend #solarcoin to their customers for a faster #roi! $slr",FALSE,2,"SolarPowerWorld",2018-02-07 21:10:59,FALSE,"961321321622835201","961346576202346496","82901380","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"18","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 15:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.687 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5176<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/NmhGkSAluJ",FALSE,0,NA,2018-02-07 21:07:06,TRUE,NA,"961345601416957952",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"19","“#SolarCoin is an alternative digital currency that works like air-miles for Solar electricity generation.” https://t.co/p28jLM51Rf",FALSE,5,NA,2018-02-07 20:56:29,FALSE,NA,"961342928617639936",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","PickMySolar",0,FALSE,FALSE,NA,NA
"20","RT @SolarCoinNews: #SolarCoin price :$0.55,MCAP:$21M,Circulating Supply:$39M
https://t.co/1geEmdYCZh        #Cryptoassets #cryptocurrency #…",FALSE,0,NA,2018-02-07 20:01:14,FALSE,NA,"961329025254809600",NA,"<a href=""https://energycoin.eu/"" rel=""nofollow"">EnergyCoin</a>","energycoin",2,TRUE,FALSE,NA,NA
"21","RT @ahmedsnowstorm: @officialmcafee Check out @SolarCoin_SLR we’ve been granting SolarCoins for energy producers around the world. We do va…",FALSE,0,NA,2018-02-07 19:35:25,FALSE,NA,"961322526210060288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SolarCoinNews",1,TRUE,FALSE,NA,NA
"22","RT @SolarCoinNews: #SolarCoin price :$0.55,MCAP:$21M,Circulating Supply:$39M
https://t.co/1geEmdYCZh        #Cryptoassets #cryptocurrency #…",FALSE,0,NA,2018-02-07 19:32:12,FALSE,NA,"961321717665812480",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","Stephencgill",2,TRUE,FALSE,NA,NA
"23","#SolarCoin price :$0.55,MCAP:$21M,Circulating Supply:$39M
https://t.co/1geEmdYCZh        #Cryptoassets… https://t.co/A8mWzmZp8m",FALSE,2,NA,2018-02-07 19:09:01,TRUE,NA,"961315884324106240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SolarCoinNews",2,FALSE,FALSE,NA,NA
"24","@BridgePSL @AkonLighting Did you sign up for #solarcoin? Solarcoin is a free reward offered to anyone producing ele… https://t.co/VQPiPjw47Y",FALSE,1,"BridgePSL",2018-02-07 18:46:04,TRUE,"867717092459651072","961310109308567552","776775908304818176","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SolarCoinNews",0,FALSE,FALSE,NA,NA
"25","@NarecDE Depending on the strategy, SolarCoin as payment can be a great advantage in the future to clean energy",FALSE,1,"NarecDE",2018-02-07 18:00:40,FALSE,"961290442750021632","961298681814233090","552883220","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avstatistics",0,FALSE,FALSE,NA,NA
"26","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 11:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.675 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5162<U+2B07>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/HjJUMzpAk6",FALSE,0,NA,2018-02-07 17:07:06,TRUE,NA,"961285202806001665",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"27","@officialmcafee what about @SolarCoin_SLR ? it is also backed by renewable energy.",FALSE,1,"officialmcafee",2018-02-07 16:46:13,FALSE,"961277882826936326","961279946827161600","961445378","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","euronodi",0,FALSE,FALSE,NA,NA
"28","@officialmcafee Check out @SolarCoin_SLR we’ve been granting SolarCoins for energy producers around the world. We d… https://t.co/fDELcZ8cnY",FALSE,1,"officialmcafee",2018-02-07 16:41:59,TRUE,"961277882826936326","961278882476445696","961445378","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ahmedsnowstorm",1,FALSE,FALSE,NA,NA
"29","@officialmcafee What about SolarCoin?",FALSE,2,"officialmcafee",2018-02-07 16:39:35,FALSE,"961277882826936326","961278276617539584","961445378","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brian_ikeda",0,FALSE,FALSE,NA,NA
"30","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-07 15:36:02,FALSE,NA,"961262283304423424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saint_crypto",7,TRUE,FALSE,NA,NA
"31","RT @NarecDE: Should we accept #solarcoin as a payment method for our solar PV training course? @SolarCoin_SLR @SolarCoinNews @thesolartrade",FALSE,0,NA,2018-02-07 15:22:03,FALSE,NA,"961258764555841536",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Sylph93Me",7,TRUE,FALSE,NA,NA
"32","UniversalAdventure edited the Wikipedia article on SolarCoin. https://t.co/jM3tX7IdPG",FALSE,0,NA,2018-02-07 14:41:19,FALSE,NA,"961248513526063105",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","CryptoNewsBot",0,FALSE,FALSE,NA,NA
"33","RT @azeezmohammed: #solarcoin is the new black! Excited to see it take off in a big way thanks to @ACWAPower who is the world's 1st to adop…",FALSE,0,NA,2018-02-07 14:18:18,FALSE,NA,"961242722970382341",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Regenecon",9,TRUE,FALSE,NA,NA
"34","RT @falyranaivoson: ""Together with #FairCoin, the @holochain , the #SolarCoin and the Heyerdahl Mangrove Coin, this should be on the radar…",FALSE,0,NA,2018-02-07 14:17:40,FALSE,NA,"961242560546029569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Regenecon",10,TRUE,FALSE,NA,NA
"35","<ed><U+00A0><U+00BD><ed><U+00B3><U+0086>2018/02/07 07:07 @ Home
<U+23F1>1,152 days up
<ed><U+00A0><U+00BC><ed><U+00BC><U+00A4>22 #solarpanels (5.50 kW)
<U+26A1>ENERGY = §22.667 MWh
<ed><U+00A0><U+00BD><ed><U+00B4><U+0080>SLR/USD = $0.5484<U+2B06>
<ed><U+00A0><U+00BD><ed><U+00B2><U+00B5>Earni… https://t.co/XaYO8LF4Bk",FALSE,0,NA,2018-02-07 13:07:06,TRUE,NA,"961224802873745408",NA,"<a href=""http://shkspr.mobi/blog/2013/12/graphing-my-solar-panels-open-source/"" rel=""nofollow"">SolarPanelGraph</a>","projectAlborada",0,FALSE,FALSE,NA,NA
"36","so many blockchain coins are vital incentives for innovative, necessary technologies- @ethereumproject,… https://t.co/Kh3FitfQAk",FALSE,2,NA,2018-02-07 11:30:15,TRUE,NA,"961200432247902209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nglnt",0,FALSE,FALSE,NA,NA
"37","@CEnd_brewmaster @Smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ @SpaceX Ah you got them then, enjoy! :)",FALSE,1,"CEnd_brewmaster",2018-02-07 10:19:48,FALSE,"961182043639033857","961182699355590656","806730834","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BernardMcCarty",0,FALSE,FALSE,NA,NA
"38","@elonmusk Congratulations on taking off-roading to another level. How is the rig powered? I would be honoured if yo… https://t.co/cqaK4qK1Rw",FALSE,1,"elonmusk",2018-02-07 10:17:57,TRUE,NA,"961182236639940608","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NovusElements",0,FALSE,FALSE,NA,NA
"39","@smappee @Stratfordenergy @SolarCoin_SLR @ElectriCChain_ What a few days! Exciting @SpaceX rocket launch and then t… https://t.co/HP4eySWFTX",FALSE,12,"Smappee",2018-02-07 10:17:11,TRUE,NA,"961182043639033857","831170612","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CEnd_brewmaster",6,FALSE,FALSE,NA,NA
